rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0072.jpg,28.8,0.7248,0.4497,1.0,1.0,4,3,False,True
2,frame_0009.jpg,3.6,0.7,0.0,0.0,1.0,0,0,True,True
3,frame_0012.jpg,4.8,0.7,0.0,0.0,1.0,0,0,True,False
4,frame_0017.jpg,6.8,0.7,0.0,0.0,1.0,0,0,True,True
5,frame_0019.jpg,7.6,0.7,0.0,0.0,1.0,0,0,True,False
6,frame_0289.jpg,115.6,0.6693,0.4346,1.0,0.76,3,3,False,True
7,frame_0207.jpg,82.8,0.66,0.0,0.0,0.8,0,0,True,True
8,frame_0031.jpg,12.4,0.6485,0.297,1.0,1.0,6,3,False,True
9,frame_0204.jpg,81.6,0.636,0.0,0.0,0.68,0,0,True,False
10,frame_0212.jpg,84.8,0.62,0.0,0.0,0.6,0,0,True,True
11,frame_0295.jpg,118.0,0.6118,0.5515,0.6667,0.68,2,2,False,True
12,frame_0200.jpg,80.0,0.604,0.0,0.0,0.52,0,0,True,True
13,frame_0284.jpg,113.6,0.6014,0.3788,1.0,0.56,5,3,False,True
14,frame_0199.jpg,79.6,0.596,0.0,0.0,0.48,0,0,True,False
15,frame_0029.jpg,11.6,0.5959,0.3917,0.6667,1.0,2,2,False,False
16,frame_0196.jpg,78.4,0.572,0.0,0.0,0.36,0,0,True,False
17,frame_0129.jpg,51.6,0.5668,0.3816,0.6667,0.88,4,2,False,True
18,frame_0194.jpg,77.6,0.556,0.0,0.0,0.28,0,0,True,True
19,frame_0070.jpg,28.0,0.5334,0.2668,0.6667,1.0,4,2,False,False
20,frame_0008.jpg,3.2,0.5278,0.4556,0.3333,1.0,1,1,False,False
21,frame_0075.jpg,30.0,0.5162,0.2483,0.6667,0.96,4,2,False,False
22,frame_0288.jpg,115.2,0.5161,0.3442,0.6667,0.72,3,2,False,False
23,frame_0374.jpg,149.6,0.5161,0.3522,1.0,0.2,5,3,False,False
24,frame_0180.jpg,72.0,0.516,0.0,0.0,0.08,0,0,True,False
25,frame_0327.jpg,130.8,0.5148,0.4135,1.0,0.04,4,3,False,False
26,frame_0287.jpg,114.8,0.5143,0.3566,0.6667,0.68,4,2,False,False
27,frame_0375.jpg,150.0,0.5055,0.331,1.0,0.2,6,3,False,False
28,frame_0069.jpg,27.6,0.4752,0.3505,0.3333,1.0,3,1,False,False
29,frame_0123.jpg,49.2,0.4751,0.2941,0.6667,0.64,4,2,False,False
30,frame_0111.jpg,44.4,0.4686,0.4732,0.6667,0.16,2,2,False,False
31,frame_0285.jpg,114.0,0.4665,0.2929,0.6667,0.6,3,2,False,False
32,frame_0224.jpg,89.6,0.4422,0.4364,0.6667,0.12,3,2,False,False
33,frame_0232.jpg,92.8,0.4397,0.3993,0.6667,0.2,2,2,False,False
34,frame_0071.jpg,28.4,0.427,0.254,0.3333,1.0,5,1,False,False
35,frame_0000.jpg,0.0,0.4221,0.2442,0.3333,1.0,4,1,False,False
36,frame_0001.jpg,0.4,0.4221,0.2443,0.3333,1.0,4,1,False,False
37,frame_0125.jpg,50.0,0.4221,0.3562,0.3333,0.72,3,1,False,False
38,frame_0315.jpg,126.0,0.4178,0.3875,0.6667,0.12,6,2,False,False
39,frame_0074.jpg,29.6,0.4171,0.2342,0.3333,1.0,5,1,False,False
40,frame_0084.jpg,33.6,0.4171,0.3942,0.3333,0.6,1,1,False,False
41,frame_0281.jpg,112.4,0.4171,0.4583,0.3333,0.44,2,1,False,False
42,frame_0076.jpg,30.4,0.4163,0.2647,0.3333,0.92,3,1,False,False
43,frame_0130.jpg,52.0,0.4145,0.261,0.3333,0.92,3,1,False,False
44,frame_0128.jpg,51.2,0.406,0.276,0.3333,0.84,5,1,False,False
45,frame_0133.jpg,53.2,0.406,0.2121,0.3333,1.0,3,1,False,False
46,frame_0296.jpg,118.4,0.4028,0.3497,0.3333,0.64,2,1,False,False
47,frame_0217.jpg,86.8,0.4013,0.4426,0.3333,0.4,1,1,False,False
48,frame_0294.jpg,117.6,0.3989,0.3098,0.3333,0.72,3,1,False,False
49,frame_0218.jpg,87.2,0.3988,0.4536,0.3333,0.36,1,1,False,False
50,frame_0131.jpg,52.4,0.3961,0.2083,0.3333,0.96,2,1,False,False
51,frame_0068.jpg,27.2,0.3951,0.1902,0.3333,1.0,3,1,False,False
52,frame_0376.jpg,150.4,0.393,0.3219,0.6667,0.16,6,2,False,False
53,frame_0233.jpg,93.2,0.3887,0.2813,0.6667,0.24,3,2,False,False
54,frame_0304.jpg,121.6,0.3807,0.2334,0.6667,0.32,4,2,False,False
55,frame_0127.jpg,50.8,0.3771,0.2342,0.3333,0.8,4,1,False,False
56,frame_0377.jpg,150.8,0.377,0.306,0.6667,0.12,3,2,False,False
57,frame_0112.jpg,44.8,0.3758,0.2715,0.6667,0.2,3,2,False,False
58,frame_0124.jpg,49.6,0.3741,0.2762,0.3333,0.68,3,1,False,False
59,frame_0397.jpg,158.8,0.3718,0.2635,0.6667,0.2,5,2,False,False
60,frame_0276.jpg,110.4,0.3706,0.2451,0.6667,0.24,5,2,False,False
61,frame_0387.jpg,154.8,0.3701,0.2602,0.6667,0.2,6,2,False,False
62,frame_0286.jpg,114.4,0.3688,0.2816,0.3333,0.64,3,1,False,False
63,frame_0126.jpg,50.4,0.3687,0.2334,0.3333,0.76,6,1,False,False
64,frame_0225.jpg,90.0,0.3684,0.3048,0.6667,0.08,4,2,False,False
65,frame_0316.jpg,126.4,0.3683,0.2726,0.6667,0.16,5,2,False,False
66,frame_0230.jpg,92.0,0.3682,0.2884,0.6667,0.12,4,2,False,False
67,frame_0085.jpg,34.0,0.365,0.306,0.3333,0.56,1,1,False,False
68,frame_0329.jpg,131.6,0.3586,0.2851,0.6667,0.08,4,2,False,False
69,frame_0328.jpg,131.2,0.356,0.28,0.6667,0.08,6,2,False,False
70,frame_0290.jpg,116.0,0.3542,0.1884,0.3333,0.8,3,1,False,False
71,frame_0087.jpg,34.8,0.3495,0.307,0.3333,0.48,2,1,False,False
72,frame_0323.jpg,129.2,0.3468,0.4456,0.3333,0.12,1,1,False,False
